33,2.539274176876317E-4
1764,2.3843283348333705E-4
3823,1.8259386021880357E-4
338,1.4964176604848428E-4
3,1.3815656212346804E-4
1113,1.310983822568217E-4
1511,1.2905192773927335E-4
952,1.2746488137872563E-4
853,1.267548869542701E-4
6908,1.1017442892433757E-4
2371,1.0942267012197287E-4
7307,1.0917208385451797E-4
4972,1.0712562933696962E-4
127,1.0612328426715002E-4
155,1.0441094477287487E-4
1882,9.919039753423112E-5
1454,9.893981126677623E-5
736,9.843863873186642E-5
69,9.743629366204684E-5
3504,9.513925287704359E-5
